Departamento,Año,Mes,Dia,Sexo,Edad,Calidad de la Victima
MAGDALENA,2005,11,11,Mujer,22.0,Civil
BOLIVAR,2003,9,30,Mujer,14.0,Civil
CESAR,2007,5,28,Hombre,28.0,Civil
ANTIOQUIA,2002,7,1,Mujer,42.0,Civil
ARAUCA,1998,7,27,Mujer,18.0,Civil
ANTIOQUIA,2004,7,26,Mujer,26.0,Civil
ANTIOQUIA,1991,11,27,Mujer,49.0,Civil
CESAR,1998,2,17,Mujer,16.0,Civil
GUAVIARE,1993,1,1,Mujer,31.0,Civil
PUTUMAYO,1988,1,1,Mujer,20.0,Civil
ANTIOQUIA,2000,6,26,Mujer,16.0,Civil
VALLE DEL CAUCA,2013,10,6,Mujer,9.0,Civil
NORTE DE SANTANDER,1999,5,16,Mujer,22.0,Civil
NORTE DE SANTANDER,1998,1,10,Mujer,21.0,Civil
BOLIVAR,2006,9,12,Mujer,34.0,Civil
MAGDALENA,2001,1,10,Mujer,16.0,Civil
ANTIOQUIA,1987,4,20,Mujer,29.0,Civil
CHOCO,2009,8,3,Mujer,36.0,Civil
CESAR,2000,1,14,Mujer,26.0,Civil
SIN INFORMACION,0,0,0,Mujer,15.0,Civil
ANTIOQUIA,2001,12,15,Mujer,18.0,Civil
ANTIOQUIA,2000,12,15,Mujer,18.0,Civil
META,1993,5,26,Mujer,14.0,Civil
ANTIOQUIA,2011,5,28,Mujer,1.0,Civil
NARINO,2005,8,5,Mujer,38.0,Civil
MAGDALENA,2000,1,4,Mujer,29.0,Civil
MAGDALENA,2000,2,19,Mujer,19.0,Civil
MAGDALENA,2003,1,2,Mujer,33.0,Civil
PUTUMAYO,2004,10,12,Mujer,19.0,Civil
TOLIMA,2006,2,2,Hombre,45.0,Civil
NARINO,2006,8,15,Mujer,33.0,Civil
TOLIMA,2013,5,21,Mujer,17.0,Civil
CORDOBA,1988,8,4,Mujer,28.0,Civil
CUNDINAMARCA,2013,3,28,Mujer,23.0,Civil
TOLIMA,2000,8,24,Mujer,28.0,Civil
MAGDALENA,2005,4,3,Mujer,12.0,Civil
CAQUETA,2002,7,14,Mujer,17.0,Civil
VALLE DEL CAUCA,2014,10,8,Mujer,23.0,Civil
CAUCA,2002,9,14,Mujer,18.0,Civil
CHOCO,1995,12,10,Mujer,10.0,Civil
BOLIVAR,2001,10,8,Mujer,25.0,Civil
MAGDALENA,1995,3,26,Mujer,23.0,Civil
ANTIOQUIA,2013,2,11,Mujer,42.0,Civil
ARAUCA,2002,6,1,Mujer,23.0,Civil
PUTUMAYO,2005,11,10,Mujer,37.0,Civil
BOLIVAR,1997,2,7,Mujer,35.0,Civil
MAGDALENA,2002,7,12,Hombre,19.0,Civil
SUCRE,2003,7,1,Mujer,14.0,Civil
MAGDALENA,1997,11,26,Hombre,15.0,Civil
MAGDALENA,2001,11,17,Mujer,23.0,Civil
MAGDALENA,1999,7,16,Mujer,20.0,Civil
ANTIOQUIA,2003,7,13,Mujer,39.0,Civil
META,1994,6,8,Mujer,16.0,Civil
ANTIOQUIA,2013,2,28,Mujer,22.0,Civil
ARAUCA,2013,11,10,Mujer,29.0,Civil
CAQUETA,2002,8,20,Mujer,32.0,Civil
CAUCA,2000,6,29,Mujer,20.0,Civil
ANTIOQUIA,1999,7,23,Mujer,29.0,Civil
NORTE DE SANTANDER,2014,6,11,Mujer,11.0,Civil
BOYACA,1998,6,1,Mujer,15.0,Civil
ANTIOQUIA,2001,2,12,Mujer,9.0,Civil
CORDOBA,2013,7,1,Mujer,38.0,Civil
NARINO,2015,2,3,Mujer,38.0,Civil
MAGDALENA,2007,11,11,Mujer,14.0,Civil
CESAR,2003,1,5,Mujer,17.0,Civil
ANTIOQUIA,2001,1,17,Mujer,15.0,Civil
LA GUAJIRA,1998,8,19,Mujer,23.0,Civil
NARINO,1999,1,1,Mujer,17.0,Civil
CESAR,2008,6,13,Mujer,14.0,Civil
ANTIOQUIA,2001,1,15,Mujer,26.0,Civil
TOLIMA,1999,4,8,Mujer,12.0,Civil
ANTIOQUIA,1997,9,16,Mujer,42.0,Civil
TOLIMA,2014,2,6,Mujer,32.0,Civil
